 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Elastic modulus (GPa)
270.0,189.0,778.0,979.4,0.0,45.0,135.0,1.8,25.36
270.0,189.0,650.7,979.4,0.0,45.0,135.0,1.8,30.84
225.0,189.0,776.8,977.9,0.0,45.0,180.0,2.02,32.16
225.0,189.0,649.7,977.9,0.0,45.0,180.0,2.02,28.75
180.0,189.0,775.6,976.3,0.0,45.0,225.0,2.02,29.71
180.0,189.0,648.6,976.3,0.0,45.0,225.0,2.02,26.63
135.0,189.0,773.2,973.3,0.0,45.0,270.0,2.02,28.73
135.0,189.0,646.6,973.3,0.0,45.0,270.0,2.02,25.8
373.0,170.0,1035.0,697.0,0.0,0.0,42.0,2.9,34.1
290.0,170.0,1035.0,697.0,0.0,0.0,125.0,2.9,33.3
208.0,170.0,1035.0,697.0,0.0,0.0,207.0,2.9,32.0
320.0,160.0,1285.0,500.0,0.0,0.0,137.0,3.84,40.5
274.0,160.0,1285.0,500.0,0.0,0.0,183.0,3.29,41.0
229.0,160.0,1285.0,500.0,0.0,0.0,228.0,2.75,40.0
360.0,203.0,1040.0,482.0,0.0,0.0,90.0,4.95,12.5
270.0,203.0,1040.0,482.0,0.0,0.0,180.0,4.95,9.5
180.0,203.0,1040.0,482.0,0.0,0.0,270.0,4.95,9.4
427.5,112.5,1432.8,445.73,0.0,22.5,0.0,18.0,38.88
405.0,112.5,1427.87,444.19,0.0,45.0,0.0,15.75,41.55
382.5,112.5,1422.93,442.66,0.0,67.5,0.0,15.75,43.03
360.0,112.5,1417.99,441.12,0.0,90.0,0.0,13.5,40.35
337.5,112.5,1413.05,439.59,0.0,112.5,0.0,13.5,35.15
427.5,126.0,1125.0,675.0,0.0,22.5,0.0,14.0,46.08
405.0,126.0,1125.0,675.0,0.0,45.0,0.0,14.0,47.06
382.5,126.0,1125.0,675.0,0.0,67.5,0.0,14.0,48.26
405.0,126.0,1125.0,675.0,45.0,0.0,0.0,14.0,43.74
360.0,126.0,1125.0,675.0,90.0,0.0,0.0,14.0,43.06
315.0,126.0,1125.0,675.0,135.0,0.0,0.0,14.0,42.36
360.0,126.0,1125.0,675.0,0.0,0.0,90.0,14.0,45.04
270.0,126.0,1125.0,675.0,0.0,0.0,180.0,14.0,44.84
180.0,126.0,1125.0,675.0,0.0,0.0,270.0,14.0,43.09
300.0,160.0,1137.0,741.0,0.0,0.0,100.0,0.0,34.5
300.0,160.0,1246.0,741.0,0.0,0.0,100.0,0.0,35.73
300.0,160.0,1356.0,741.0,0.0,0.0,100.0,0.0,36.09
