 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (??) 7d,Drying shrinkage (??) 28d,Drying shrinkage (??) 90d,Drying shrinkage (??)120d,Creep (??) 28d,Creep (??) 90d,Creep (??) 150d,Abrasion (mm) 28 d
290.0,163.0,1048.0,670.0,72.5,0.0,0.0,0.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
290.0,163.0,1048.0,670.0,72.5,0.0,0.0,0.0,30.0,3.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,43.0,4.128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,35.5,3.7275,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,34.5,3.46725,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,35.4,3.4338,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,44.5,3.58225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,40.0,3.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,38.0,3.8038,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
235.62,163.0,1048.0,670.0,0.0,0.0,126.88,0.0,43.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
235.62,163.0,1048.0,670.0,0.0,0.0,126.88,0.0,38.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
235.62,163.0,1048.0,670.0,0.0,0.0,126.88,0.0,44.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
235.62,163.0,1048.0,670.0,0.0,0.0,126.88,0.0,39.5,3.91,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,90.62,18.12,0.0,0.0,40.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,90.62,18.12,0.0,0.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,90.62,18.12,0.0,0.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253.75,163.0,1048.0,670.0,90.62,18.12,0.0,0.0,35.0,3.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
368.53,260.14,810.0,795.0,50.77,0.0,0.0,0.0,23.72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
325.18,260.14,810.0,795.0,84.62,0.0,0.0,0.0,18.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
281.82,260.14,810.0,795.0,118.46,0.0,0.0,0.0,15.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
411.89,260.14,810.0,795.0,0.0,16.08,0.0,0.0,34.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
390.21,260.14,810.0,795.0,0.0,32.17,0.0,0.0,36.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
368.53,260.14,810.0,795.0,0.0,48.25,0.0,0.0,39.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
436.5,200.0,778.0,880.0,0.0,18.0,0.0,6.7,53.7,-1.0,-1.0,-1.0,5183.0,1403.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
418.5,200.0,774.0,875.0,0.0,36.0,0.0,7.5,64.0,-1.0,-1.0,-1.0,966.0,685.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
400.0,200.0,771.0,870.0,0.0,54.5,0.0,8.0,64.0,-1.0,-1.0,-1.0,560.0,408.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
337.0,200.0,774.0,874.0,0.0,36.0,81.5,6.7,66.5,-1.0,-1.0,-1.0,614.0,529.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
373.0,200.0,778.0,878.0,81.5,0.0,0.0,5.82,50.1,-1.0,-1.0,-1.0,3810.0,1386.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
291.0,200.0,773.0,872.0,163.5,0.0,0.0,6.35,56.5,-1.0,-1.0,-1.0,3240.0,2286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
209.5,200.0,772.0,871.0,163.5,0.0,81.5,5.5,50.0,-1.0,-1.0,-1.0,1326.0,942.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
373.0,200.0,772.0,872.0,81.5,0.0,0.0,4.67,41.0,-1.0,-1.0,-1.0,4901.0,1171.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
291.0,200.0,762.0,859.0,163.5,0.0,0.0,4.36,37.6,-1.0,-1.0,-1.0,4159.0,624.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
209.5,200.0,761.0,858.0,163.5,0.0,81.5,4.31,35.8,-1.0,-1.0,-1.0,4204.0,660.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
373.0,200.0,781.0,881.0,0.0,0.0,81.5,5.35,54.6,-1.0,-1.0,-1.0,2520.0,1834.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
255.5,200.0,769.0,868.0,81.5,36.0,81.5,7.0,56.8,-1.0,-1.0,-1.0,511.0,359.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
228.0,182.0,1100.0,770.0,0.0,0.0,228.0,0.0,43.0,3.88,-1.0,23.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
228.0,182.0,1100.0,770.0,0.0,23.0,228.0,1.82,46.0,4.5,-1.0,26.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
