 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (??) 7d,Drying shrinkage (??) 28d,Drying shrinkage (??) 90d,Drying shrinkage (??)120d,Creep (??) 28d,Creep (??) 90d,Creep (??) 150d,Abrasion (mm) 28 d
515.7,184.2,1040.5,445.5,221,0,0,2.3,62,-1,-1,-1,902,-1,-1,344,440,-1,500,-1,-1,-1,-1
438.2,182.6,1031.4,441.6,292.1,0,0,2,58,-1,-1,-1,959,-1,-1,300,400,-1,455,-1,-1,-1,-1
362,181,1022.4,437.7,362,0,0,1.8,44,-1,-1,-1,988,-1,-1,298,370,-1,415,-1,-1,-1,-1
440,198,797.5,962.5,0,110,0,8.25,45.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
385,198,797.5,962.5,55,110,0,8.25,46.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
470,175,1203,647,0,30,0,9.78,55.25,-1,-1,35.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,175,1203,647,0,50,0,11.71,57.38,-1,-1,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
425,175,1203,647,0,75,0,13.34,59.5,-1,-1,38.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
426,153,1169,630,0,22,0,2.2,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
449,142,1155,622,0,50,0,5,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
468,132,1136,612,0,83,0,8.3,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
478,121,1119,603,0,120,0,12,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
475,135,1050,725,0,25,0,43,75.225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,135,1050,715,0,50,0,43,81.175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
425,135,1050,715,0,75,0,43,85.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
475,150,1050,685,0,25,0,19,77.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,150,1050,680,0,50,0,19,80.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
425,150,1050,680,0,75,0,19,83.725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
475,165,1050,690,0,25,0,12,70.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,165,1050,685,0,50,0,12,76.075,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
425,165,1050,680,0,75,0,12,75.225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
441,164,1115,653,0,28,0,2.9,73.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
465,149,1168,615,0,30,0,3.1,80.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,149,1168,615,0,45,0,3.7,84.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
494,135.2,1146,667,0,26,0,18.2,79.05,6.38,9.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
468,135.2,1146,667,0,52,0,18.2,79.22,6.37,10.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
442,135.2,1146,667,0,78,0,18.2,80.92,6.65,11.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
416,135.2,1146,667,0,104,0,18.2,79.9,6.51,11.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
390,135.2,1146,667,0,130,0,18.2,74.8,5.75,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
484.5,153,1122.5,653,0,25.5,0,17.85,63.75,5.61,9.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
459,153,1122.5,653,0,51,0,17.85,67.15,6.05,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
433.5,153,1122.5,653,0,76.5,0,17.85,71.99,6.25,9.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
408,153,1122.5,653,0,102,0,17.85,74.38,6.24,10.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
382.5,153,1122.5,653,0,127.5,0,17.85,71.66,5.61,12.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
475,170,1100,640,0,25,0,17.5,55.08,5.61,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,170,1100,640,0,50,0,17.5,61.2,5.71,8.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
425,170,1100,640,0,75,0,17.5,64.01,5.75,9.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400,170,1100,640,0,100,0,17.5,68.85,6.05,10.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
375,170,1100,640,0,125,0,17.5,66.98,5.85,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
465.5,186.2,1078,628,0,24.5,0,17.15,51,4.51,7.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
441,186.2,1078,628,0,49,0,17.15,56.1,5.17,7.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
416.5,186.2,1078,628,0,73.5,0,17.15,57.375,5.2,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
392,186.2,1078,628,0,98,0,17.15,58.65,5.21,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
367.5,186.2,1078,628,0,122.5,0,17.15,60.95,5.25,9.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
343,186.2,1078,628,0,147,0,17.15,57.8,4.85,7.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
456,201.6,1058,616,0,24,0,16.8,42.67,4.4,6.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
432,201.6,1058,616,0,48,0,16.8,48.88,4.45,6.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
408,201.6,1058,616,0,72,0,16.8,51,4.5,7.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
384,201.6,1058,616,0,96,0,16.8,53.13,4.54,7.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
360,201.6,1058,616,0,120,0,16.8,54.23,4.51,8.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
336,201.6,1058,616,0,144,0,16.8,44.03,4.35,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
720,231,710,730,0,80,0,33,92.91,-1,-1,51.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
640,252,710,730,0,160,0,33,86.11,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
560,273,710,730,0,240,0,33,83.05,-1,-1,55.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
720,197,710,730,80,0,0,34,90.61,-1,-1,52.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
