 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Chloride permeability (Coulomb) 28d
371.88,151.35,1152.31,711.22,0.0,0.0,60.54,4.76,470.0
666.0,152.0,1103.0,523.0,0.0,0.0,74.0,8.88,515.0
592.0,152.0,1100.0,522.0,0.0,0.0,148.0,8.88,485.0
518.0,152.0,1097.0,520.0,0.0,0.0,222.0,8.88,455.0
444.0,152.0,1094.0,519.0,0.0,0.0,296.0,8.88,445.0
370.0,152.0,1091.0,518.0,0.0,0.0,370.0,8.88,415.0
696.0,152.0,1099.0,522.0,0.0,44.4,0.0,8.88,474.0
681.0,152.0,1092.0,518.0,0.0,59.0,0.0,8.88,432.0
666.0,152.0,1085.0,515.0,0.0,74.0,0.0,8.88,385.0
651.0,151.0,1081.0,513.0,0.0,89.0,0.0,8.88,335.0
629.0,151.0,1075.0,510.0,0.0,111.0,0.0,8.88,290.0
607.0,151.0,1069.0,507.0,0.0,133.0,0.0,8.88,260.0
577.0,151.0,1078.0,511.0,0.0,89.0,74.0,8.88,370.0
503.0,151.0,1075.0,510.0,0.0,89.0,148.0,8.88,325.0
429.0,151.0,1072.0,509.0,0.0,89.0,222.0,8.88,297.0
355.0,151.0,1069.0,507.0,0.0,89.0,296.0,8.88,265.0
281.0,151.0,1066.0,506.0,0.0,89.0,370.0,8.88,246.0
504.8,185.5,797.5,886.6,0.0,10.302,0.0,11.332244,1096.0
494.5,185.5,796.0,884.9,0.0,20.604,0.0,11.332288,1060.0
484.2,185.5,794.5,883.2,0.0,30.906,0.0,11.332332,1030.0
473.9,185.5,793.0,881.6,0.0,41.208,0.0,11.332376,1000.0
463.6,185.5,791.5,879.9,0.0,51.51,0.0,11.33242,955.0
499.7,185.5,776.1,862.8,15.453,0.0,0.0,11.333366,1330.0
484.2,185.5,753.2,837.4,30.906,0.0,0.0,11.332332,1300.0
430.1,185.5,746.8,830.2,84.9915,0.0,0.0,11.332013,1275.0
401.8,185.5,729.4,810.9,113.322,0.0,0.0,11.332684,1210.0
373.5,185.5,712.0,791.6,141.6525,0.0,0.0,11.333355,1200.0
345.1,185.5,694.6,772.2,169.983,0.0,0.0,11.331826,1198.0
316.8,185.5,677.2,752.9,198.3135,0.0,0.0,11.332497,1185.0
288.5,185.5,659.8,733.5,226.644,0.0,0.0,11.333168,1151.0
231.8,185.5,625.0,694.9,283.305,0.0,0.0,11.33231,1150.0
360.0,180.0,868.0,941.0,40.0,0.0,0.0,0.0,3600.0
320.0,180.0,865.0,937.0,80.0,0.0,0.0,0.0,3950.0
280.0,180.0,852.0,933.0,120.0,0.0,0.0,0.0,4300.0
380.0,180.0,869.0,941.0,0.0,20.0,0.0,0.0,1970.0
360.0,180.0,865.0,937.0,0.0,40.0,0.0,0.0,1500.0
340.0,180.0,863.0,935.0,40.0,20.0,0.0,0.0,2400.0
280.0,180.0,861.0,932.0,80.0,20.0,0.0,0.0,2700.0
260.0,180.0,858.0,930.0,120.0,20.0,0.0,0.0,3350.0
350.0,190.0,876.0,830.0,150.0,0.0,0.0,9.1,1250.0
300.0,200.0,860.0,845.0,200.0,0.0,0.0,9.0,1240.0
250.0,210.0,856.0,856.0,250.0,0.0,0.0,8.6,1200.0
409.5,159.6,869.0,869.0,0.0,10.5,0.0,2.016,3200.0
399.0,159.6,868.0,868.0,0.0,21.0,0.0,2.142,2200.0
388.5,159.6,865.0,865.0,0.0,31.5,0.0,2.268,1500.0
378.0,159.6,869.0,869.0,0.0,42.0,0.0,2.352,1250.0
357.0,159.6,865.0,865.0,63.0,0.0,0.0,1.638,4230.0
294.0,159.6,855.0,855.0,126.0,0.0,0.0,1.26,4400.0
346.5,159.6,864.0,864.0,63.0,10.5,0.0,1.68,3880.0
336.0,159.6,861.0,861.0,63.0,21.0,0.0,1.764,2480.0
325.5,159.6,860.0,860.0,63.0,31.5,0.0,1.89,1700.0
283.5,159.6,853.0,853.0,126.0,10.5,0.0,1.344,3700.0
273.0,159.6,851.0,851.0,126.0,21.0,0.0,1.386,3650.0
262.5,159.6,849.0,849.0,126.0,31.5,0.0,1.428,3700.0
675.0,225.0,570.0,688.0,75.0,0.0,0.0,8.25,2662.0
600.0,225.0,570.0,688.0,150.0,0.0,0.0,8.25,1450.0
712.5,225.0,570.0,688.0,0.0,37.5,0.0,11.25,1064.0
675.0,225.0,570.0,688.0,0.0,75.0,0.0,11.25,842.0
600.0,225.0,570.0,688.0,112.5,37.5,0.0,9.75,926.0
525.0,225.0,570.0,688.0,187.5,37.5,0.0,9.75,855.0
406.0,189.0,784.4,987.1,0.0,22.0,22.0,1.57,450.0
406.0,189.0,655.7,987.1,0.0,22.0,22.0,1.57,790.0
360.0,189.0,780.2,982.4,0.0,45.0,45.0,1.8,160.0
360.0,189.0,652.7,982.4,0.0,45.0,45.0,1.8,500.0
315.0,189.0,779.2,981.2,0.0,45.0,90.0,1.8,100.0
315.0,189.0,651.7,981.2,0.0,45.0,90.0,1.8,397.0
270.0,189.0,778.0,979.4,0.0,45.0,135.0,1.8,99.0
270.0,189.0,650.7,979.4,0.0,45.0,135.0,1.8,300.0
225.0,189.0,776.8,977.9,0.0,45.0,180.0,2.02,99.0
225.0,189.0,649.7,977.9,0.0,45.0,180.0,2.02,220.0
180.0,189.0,775.6,976.3,0.0,45.0,225.0,2.02,98.0
180.0,189.0,648.6,976.3,0.0,45.0,225.0,2.02,220.0
135.0,189.0,773.2,973.3,0.0,45.0,270.0,2.02,101.0
135.0,189.0,646.6,973.3,0.0,45.0,270.0,2.02,230.0
300.0,160.0,1137.0,741.0,0.0,0.0,100.0,0.0,2465.0
300.0,160.0,1246.0,741.0,0.0,0.0,100.0,0.0,2508.0
300.0,160.0,1356.0,741.0,0.0,0.0,100.0,0.0,2594.0
