 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Splitting tensile strength (MPa)
111.0,128.0,1115.0,770.0,127.0,0.0,47.0,2.28,3.52
99.0,133.0,1115.0,770.0,127.0,0.0,42.0,2.144,3.28
320.0,152.0,1097.0,731.2,80.0,0.0,0.0,0.0,5.35
280.0,152.0,1097.0,731.2,120.0,0.0,0.0,0.0,4.93
240.0,152.0,1097.0,731.2,160.0,0.0,0.0,0.0,4.02
320.0,152.0,1097.0,731.2,0.0,0.0,80.0,0.0,4.41
280.0,152.0,1097.0,731.2,0.0,0.0,120.0,0.0,4.19
240.0,152.0,1097.0,731.2,0.0,0.0,160.0,0.0,4.0
260.0,152.0,1097.0,731.2,80.0,0.0,60.0,0.0,4.15
240.0,152.0,1097.0,731.2,80.0,0.0,80.0,0.0,3.47
444.6,158.0,1151.0,647.0,49.4,0.0,0.0,4.94,5.46
419.9,158.0,1151.0,647.0,74.1,0.0,0.0,4.94,5.62
395.2,158.0,1151.0,647.0,98.8,0.0,0.0,4.94,5.71
370.5,158.0,1151.0,647.0,123.5,0.0,0.0,4.94,5.57
479.2,158.0,1151.0,647.0,0.0,14.8,0.0,4.94,5.52
464.4,158.0,1151.0,647.0,0.0,29.6,0.0,4.94,5.76
449.5,158.0,1151.0,647.0,0.0,44.5,0.0,4.94,6.08
434.7,158.0,1151.0,647.0,0.0,59.3,0.0,4.94,6.35
405.1,158.0,1151.0,647.0,74.1,14.8,0.0,4.94,5.62
390.3,158.0,1151.0,647.0,74.1,29.6,0.0,4.94,5.79
375.4,158.0,1151.0,647.0,74.1,44.5,0.0,4.94,6.1
360.6,158.0,1151.0,647.0,74.1,59.3,0.0,4.94,6.36
273.125,190.0,754.0,939.0,47.5,11.875,142.5,1.1875,3.31
249.375,190.0,750.2,934.1,71.25,11.875,142.5,1.1875,3.25
225.625,190.0,752.5,937.1,47.5,11.875,190.0,1.1875,3.18
154.375,190.0,746.8,930.0,71.25,11.875,237.5,1.425,2.61
